Designator,Mid X,Mid Y,Rotation,Layer
D1,29.1933,-23.0571,0.0,top
D10,67.2933,-46.8696,0.0,top
D11,67.2933,-65.9196,0.0,top
D12,86.3433,-20.6759,0.0,top
D13,86.3433,-46.8696,0.0,top
D14,86.3433,-65.9196,0.0,top
D15,105.3933,-20.6759,0.0,top
D16,105.3933,-44.4884,0.0,top
D17,105.3933,-61.1571,0.0,top
D18,105.3933,-80.2071,0.0,top
D19,95.8683,-99.2571,0.0,top
D2,29.1933,-42.1071,0.0,top
D3,29.1933,-61.1571,0.0,top
D4,29.1933,-80.2071,0.0,top
D5,38.7183,-99.2571,0.0,top
D6,48.2433,-20.6759,0.0,top
D7,48.2433,-46.8696,0.0,top
D8,48.2433,-65.9196,0.0,top
D9,67.2933,-20.6759,0.0,top
SW1,29.1933,-30.2009,0.0,top
SW10,67.2933,-54.0134,0.0,top
SW11,67.2933,-73.0634,0.0,top
SW12,86.0933,-30.2009,0.0,top
SW13,86.3433,-54.0134,0.0,top
SW14,86.3433,-73.0634,0.0,top
SW15,105.3933,-30.2009,0.0,top
SW16,105.3933,-49.2509,0.0,top
SW17,105.3933,-68.3009,0.0,top
SW18,105.3933,-87.3509,0.0,top
SW19,95.8683,-106.4009,0.0,top
SW2,29.1933,-49.2509,0.0,top
SW20,67.27,-103.3714,180.0,top
SW3,29.1933,-68.3009,0.0,top
SW4,29.1933,-87.3509,0.0,top
SW5,38.7183,-106.4009,0.0,top
SW6,47.9933,-30.2009,0.0,top
SW7,48.2433,-54.0134,0.0,top
SW8,48.2433,-73.0634,0.0,top
SW9,67.0433,-30.2009,0.0,top
